nId	szQuestion	nAnswerId	szA1	szA2	szA3	szA4
1	七夕又名魁星节，魁星是北斗七星中的哪一颗星？	1	天枢	玉衡	开阳	摇光
2	七夕穿针乞巧的方式始于哪个朝代？	2	秦朝	汉朝	宋朝	明朝
3	以下哪种动物常被用来乞巧？	4	螃蟹	蟾蜍	章鱼	蜘蛛
4	七夕期间人们会为哪种动物庆生？	3	马	牛	羊	猪
5	七夕有晒书习俗，以下哪位曾用晒肚皮方式夸耀腹中的才学？	1	郝隆	阮咸	山涛	向秀
6	“天阶夜色凉如水，坐看牵牛织女星”出自哪位诗人？	2	杜甫	杜牧	陆游	白居易
7	“纤云弄巧，飞星传恨，银汉迢迢暗渡”出自谁的笔下？	3	李清照	苏轼	秦观	李商隐
8	”七月七日长生殿，夜半无人私语时“与哪位皇帝有关？	2	刘彻	李隆基	赵佶	朱佑樘
9	”此日六军同驻马，当时七夕笑牵牛“与下列哪位美女有关？	4	西施	王昭君	貂蝉	杨玉环
10	七夕有很多别称，下列哪个不属于七夕的别称？	1	中元节	乞巧节	小儿节	双七
11	七夕兰夜，人们都是在哪里倾听俗说的天河夜话？	3	葡萄架下	西瓜田垄	南瓜棚下	草垛旁边
12	传说中，阻挡牛郎织女相会的银河是王母娘娘的什么物件？	2	丝带	簪子	金刚镯	腰带
13	传说中牛郎织女有几个孩子？	2	1	2	3	4
14	下边哪一种不属于七夕的乞巧方式？	4	穿针乞巧	喜蛛应巧	兰夜斗巧	对诗乞巧
15	“七夕巧果”是从哪个朝代起在已在大街上有出售的?	1	宋朝	元朝	明朝	清朝
16	牛郎星在天文学上属于哪个星座？	3	天琴星座	仙后星座	天鹰星座	大熊星座
17	织女星在天文学上属于哪个星座？	1	天琴星座	仙后星座	天鹰星座	大熊星座
18	七夕的祭物“磨喝乐”是指？	2	食物	玩偶	泥巴	餐具
19	七夕节什么时候被列入国家非物质文化遗产名录？	4	2000年	2002年	2004年	2006年
20	七夕俗传为魁星的生日。状元是什么考试中产生的呢？	3	乡试	会试	殿试	省试
21	哪个地方新婚后的新娘过第一个七夕时要举行一次”辞仙“仪式？	3	西安	南京	广州	长安
22	关于牵牛织女最早的描述出自哪里?	1	诗经	搜神记	聊斋志异	梦溪笔谈
23	为何“七夕”又称“香日”?	2	七夕花开极多	七夕织女要抹粉	七夕习俗要洗澡	香得来源不明
24	牛郎的老牛原来是天上的哪颗星?	4	牵牛星	水牛星	犀牛星	金牛星
25	牛郎的老牛是什么品种的牛？	3	奶牛	犀牛	水牛	牦牛
